0,The woman was afraid of what she saw,When someone is afraid they feel fear,1,1,afraid,adj,null,Cuando alguien tiene miedo siente miedo
1,The food is very good in that restaurant I agree with you,To agree is to say yes or to think the same way,1,1,agree,v,null,Estar de acuerdo es decir que si o pensar de la misma manera
2,She didn't do her homework so her father is angry,When someone is angry they may want to speak loudly or fight,1,1,angry,adj,null,Cuando alguien esta enojado puede querer hablar en voz alta o pelear.
3,The bus always arrives at the corner of my street at 4:00,To arrive is to get to or reach some place,1,1,arrive,v,null,llegar es llegar a o llegar a algun lugar
4,The man with the sword attacked the other man first,To attack is to try to fight or to hurt,1,1,attack,v,null,Atacar es tratar de pelear o herir
5,The bottom of my shoe has a hole in it,The bottom is the lowest part,1,1,bottom,n,null,La parte inferior es la parte mas baja.
6,The clever boy thought of a good idea,When someone is clever they can solve a hard puzzle or problem,1,1,clever,adj,null,Cuando alguien es inteligente puede resolver un rompecabezas o problema dificil.
7,The cruel man yelled at his sister,When someone is cruel they do bad things to hurt others,1,1,cruel,adj,null,Cuando alguien es cruel hace cosas malas para lastimar a los demas.
8,He finally crossed the finish line after five hours of running,If something happens finally it happens after a longtime or at the end,1,1,finally,adv,null,Si algo sucede finalmente sucede despues de mucho tiempo o al final.
9,The other children will hide while you count to 100,To hide is to try not to let others see you,1,1,hide,v,null,Esconderse es intentar que los demas no te vean
10,Long ago people hunted with bows and arrows,To hunt is to look for or search for an animal to kill,1,1,hunt,v,null,Cazar es buscar o buscar un animal para matar
11,There are a lot of apples in the basket,A lot means a large number or amount of people animals things etc,1,1,lot,n,null,Mucho significa un gran numero o cantidad de personas animales cosas etc.
12,The Canadian flag has a maple leaf in the middle of it,The middle of something is the center or halfway point,1,1,middle,n,null,El medio de algo es el centro o punto medio
13,I was only a few moments late for the meeting,A moment is a second or a very short time,1,1,moment,n,null,Un momento es un segundo o un tiempo muy corto.
14,She was pleased with the phone call she received,When someone is pleased they are happy,1,1,pleased,adj,null,Cuando alguien esta contento es feliz
15,He promised to return my key by tomorrow,To promise is to say you will do something for sure,1,1,promise,v,null,Prometer es decir que haras algo seguro
16,She asked him what time his meeting was He replied at three,To reply is to give an answer or say back to someone,1,1,reply,v,null,Responder es dar una respuesta o responder a alguien.
17,Put on your seat belt in the car to be safe,When a person is safe they are not in danger,1,1,safe,adj,null,Cuando una persona esta segura no esta en peligro
18,His card trick really surprised us,A trick is something you do to fool another person,1,1,trick,n,null,Un truco es algo que haces para engañar a otra persona
19,The couple can dance quite well,You use well to say that something was done in a good way,1,1,well,adv,null,Se usa bien para decir que algo se hizo de buena manera
20,Riding in the rough water was an adventure,An adventure is a fun or exciting thing that you do,1,2,adventure,n,null,Una aventura es algo divertido o emocionante que haces
21,The boy approached his school,To approach something means to move close to it,1,2,approach,v,null,Acercarse a algo significa moverse cerca de el.
22,The baby carefully climbed down the stairs,Carefully means with great attention especially to detail or safety,1,2,carefully,adv,null,Cuidadosamente significa con gran atencion especialmente a los detalles o la seguridad.
23,The scientist mixed the chemicals,A chemical is something that scientists use in chemistry,1,2,chemical,n,null,Una sustancia quimica es algo que los cientificos usan en quimica.
24,She created an igloo from blocks of snow,To create means to make something new,1,2,create,v,null,Crear significa hacer algo nuevo.
25,The evil figure scared us all,Evil describes something or someone bad or cruel not good,1,2,evil,adj,null,Mal describe algo o alguien malo o cruel no bueno
26,The student did an experiment in science class,An experiment is a test that you do to see what will happen,1,2,experiment,n,null,Un experimento es una prueba que haces para ver que sucede
27,I killed the fly with a fly swatter,To kill someone or something is to make them die,1,2,kill,v,null,Matar a alguien o algo es hacerlo morir
28,My mother works in a laboratory,A laboratory is a room where a scientist works,1,2,laboratory,n,null,Un laboratorio es una habitacion donde trabaja un cientifico.
29,The sound of their laugh filled the room,Laugh is the sound made when someone is happy or a funny thing occurs,1,2,laugh,n,null,La risa es el sonido que se hace cuando alguien esta feliz o cuando ocurre algo gracioso.
30,"The man""s voice was so loud that we all could hear him",If a sound is loud it is strong and very easy to hear,1,2,loud,adj,null,Si un sonido es fuerte es fuerte y muy facil de escuchar.
31,The boy became nervous when he heard the news,When a person is nervous they think something bad will happen,1,2,nervous,adj,null,Cuando una persona esta nerviosa piensa que algo malo va a pasar
32,The crying baby made a loud noise,A noise is an unpleasant sound,1,2,noise,n,null,Un ruido es un sonido desagradable.
33,His afternoon work project was to paint the room green,A project is a type of work that you do for school ora job,1,2,project,n,null,Un proyecto es un tipo de trabajo que haces para la escuela o un trabajo.
